english,chinese,korean,japanese,
After attacking~ resurrect a random friendly creature,每打一次，随机复活1个我兵,,,
Grant +10/+30 to all friendly creatures,授予所有我兵+10/+30,,,
Destroy targeted creature if target is frozen,如果目标敌兵冻僵了，立即毁灭,,,
Turnover: Grant +10/+10 to a random friendly，repeat 4 times,回合: 随机授予1个我兵+10/+10， 重复4次,,,
Whenever your opponent summons a creature~ deal 20 damage to it,随机将一个敌兵转变为我兵,,,
Convert a random opponent creature,将敌兵转变为我兵,,,
Doublestrike,双击,,,
Piercing,穿刺,,,
Lethal,致命,,,
Haste,即攻,,,
Shielded,护盾,,,
Protector,保卫,,,
Lifesap,吸命,,,
Ranged,远击,,,
Warcry: Draw a card,战嚎： 抓1张牌,,,
Turnover: Recover 20 health,回合：战后每次最多愈合20分,,,
Deathwish: Deal 10 damage to opponent hero,亡愿： 损伤敌将10分,,,
Turnover: Recover 10 health,回合：战后每次最多愈合10分,,,
Turnover: Deal 10 damage to any creature in the tile in front of this one,回合: 战后损伤正前方敌兵10分,,,
Turnover: Deal 20 damage to any creature in the tile in front of this one,回合: 战后损伤正前方敌兵20分,,,
Turnover: Deal 30 damage to any creature in the tile in front of this one,回合: 战后损伤正前方敌兵30分,,,
“Rawr-rrrr-Awr.”,“啊。。。“,,,
Warcry: Deal 10 damage to any creature in the tile in front of this one,战嚎： 击伤正前方敌兵10分,,,
Warcry: Deal 20 damage to any creature in the tile in front of this one,战嚎： 击伤正前方敌兵20分,,,
Warcry: Draw a card,战嚎： 抓1张牌,,,
Deathwish: Throw three bombs at random opponents dealing 10 damage each,亡愿： 随机扔3个手榴弹每个损伤敌方10分,,,
Freeze all opponent creatures,冻结： 冻僵所有敌兵,,,
Deal 30 damage to an opponent target,损伤目标敌方30分,,,
Deal 50 damage to all opponent creatures,损伤所有的敌兵50分,,,
Freeze a targeted creature and deal 10 damage,冻僵一个目标敌兵并损伤10分,,,
Grant Shielded to all friendly creatures,授予所有我兵护盾,,,
Freeze a targeted creature for two turns; Freeze any adjacent creatures for one turn,冻僵目标敌兵2次； 冻僵附近敌兵1次,,,
Draw three cards,抓3 张牌,,,
Turnover: Recover 20 health,回合: 战后每次最多愈合20分,,,
When attacking also deal 10 damage to any creatures adjacent to the target,打目标敌兵时还损伤左右敌兵各10分,,,
When attacking also deal full damage to any creatures adjacent to the target,打目标敌兵时还全部损伤左右敌兵,,,
Warcry: Sacrifice 20 health from your hero,亡愿：牺牲将军20分,,,
Whenever this creature takes damage~ deal 30 damage to your hero,每次受伤时，将军损伤30分,,,
Draw a card at the end of each player's turn,回合 (I added)： 战后双方抓1张新牌,,,
Warcry: Restore 20 health to adjacent creatures,战嚎：愈合左右士兵20分,,,
Warcry: Restore 40 health to adjacent creatures,战嚎： 愈合左右士兵40分,,,
Warcry: Grant Protector to adjacent creatures,战嚎： 授予左右我兵自卫,,,
Deathwish: Draw a card,亡愿: 抓1张新牌,,,
Warcry: Revive your highest cost fallen friendly creature,战嚎：复活牺牲的最贵的士兵,,,
“Poor thing~ being born into this harsh world.”,,,,
Deathwish: Deal 20 damage to all opponent creatures,亡愿：击伤所有上阵的敌兵20分,,,
Warcry: Condemn all opponent creatures,战嚎： 终身残疾所有敌兵,,,
“Not to be confused with some other titular protagonist”,,,,
“All books must b-u-r-n.”,,,,
Deathwish: Deal 30 damage to all creatures on the board,亡愿： 击伤所有上阵的敌兵30分,,,
Warcry: Condemn any creature in front,战嚎： 终身残疾正前方的敌兵,,,
Deathwish: Resurrect this creature,亡愿： 以身换己， 骷龙再世,,,
Deathwish: Summon 2 copies of Dusk Dweller,亡愿： 以身换二，黄昏骷龙双胎复出,,,
Deathwish: Summon 2 copies of Talusreaver,亡愿： 以身换二，骷龙爵士双胎复出,,,
Warcry: Deal 20 damage to a random frozen opponent creature,战嚎： 随机损伤1个冻僵的敌兵20分,,,
Warcry: Destroy a random frozen opponent creature,战嚎： 随机毁灭1个冻僵的敌兵20分,,,
Warcry: Grant Shielded to a random friendly creature,战嚎 : 随机授予1个我兵自卫功能,,,
Deathwish: Grant Shielded to a random friendly creature,亡愿: 随机授予1个我兵自卫功能,,,
Turnover: Give a random friendly creature +0/+20,回合： 随机授予1个我兵自卫+0/+20,,,
Upon taking damage~ deal 20 damage to opponent hero,自卫； 自己受伤时，敌将也损失20分,,,
At the end of each turn give a random friendly creature +10/+10,回合: 随机授予1个我兵+10/+10,,,
Warcry: Grant +30/+40 to adjacent creatures,,,,
Gain +20/+20 after each attack,每次战后获得+20/+20,,,
“Few survive the abyssal grip”,,,,
Warcry: Restore max health to friendly creatures,战嚎：愈合所有的勇士,,,
When attacking~ freeze targeted opponent creature for 1 turn,冻结： 冻僵敌兵不能作战,,,
“So innocent yet so fierce”,,,,
Turnover: Restore 30 health to your hero,回合：回合后给元帅愈合30分,,,
Deathwish: Revive your highest cost fallen friendly creature,亡愿： 救活最强的牺牲的勇士,,,
Deathwish: Deal 20 damage to the opponent hero,亡愿： 损伤敌将20分,,,
“Powered by something more other than humanity”,,,,
Deathwish: Give a random friendly creature +10/+30,亡愿： 随机授予1个我兵+10/+30,,,
Warcry: Restore 30 health to your hero,亡愿：自救20次,,,
Grant Shielded to all friendly creatures,授予所有我兵自卫,,,
Condemn a targeted creature,诅咒削弱1个敌兵,,,
Condemn all creatures,诅咒削弱所有敌兵,,,
Grant Protector to all friendly creatures,授予所有我兵防护器,,,
Destroy a targeted creature,毁灭1个指定的敌兵,,,
Deal 10 damage to 3 random opponents,随机损伤敌兵10分,,,
Randomly destroy all creatures except for 1 survivor,大逃杀， 唯一幸存者,,,
Resurrect the friendly creature that died most recently,复活最后死的我兵,,,
Grant +30/0 to a friendly creature— it dies next turn,授予一个我兵一次性的+30/0,,,
Grant +20/10 to a friendly creature,,,,
Grant +20/50 and Deathwish: Summon a Fortress Knight,,,,
Grant a creature Turnover: Draw a card,,,,
For each empty space on your board summon either a Saplet or Treelet,,,,
If you have at least 4 blue cards in hand~ eliminate your opponent’s board,,,,
Grant all creatures on your board Deathwish: summon a Hell’s Porker,,,,
Grant Protector to all friendly creatures in this domain,,,,
Turnover: Summon a Charming Imp on each empty tile in this domain,,,,
Turnover: Deal 10 damage to all opponent creatures,,,,
Turnover: Grant +20/+20 to any creature in this domain,,,,
Creatures in this domain gain +20/+0,,,,
Creatures in this domain gain Haste,,,,
Turnover: Grant +0/+10 to all friendly creatures,,,,
Draw a card each time a friendly creature dies,,,,
Reduce the cost of Weapon cards in your hand by half,,,,
Nullify all damage dealt to your hero,,,,
Reduce the cost of Creature cards in your hand by half,,,,
Deathwish: Summon a Bipolar Yeti,,,,
All creatures with cost less than 30 can be played without cost,,,,
Double the health and attack of any Creature card in your hand if it costs less than 50,,,,
Warcry: summon two Saplets with Protector,战嚎：召唤二个走地苗到身边助战,,,
“I'm gr--saplet”,,,,
Turnover: summon a Saplet,,,,
Summon two Meadow Sprites when damaged,受伤后召唤二个草原精灵到身边助战,,,
