english,chinese,korean,japanese,
Protector,保卫,,,
Doublestrike,双击,,,
Piercing,穿刺,,,
Lethal,致命,,,
Haste,冲锋,,,
Shielded,护盾,,,
Lifesap,吸血,,,
Ranged,远击,,,
,,,,
Turnover: Restore 30 health to your hero,回合之后：回复己方英雄30生命点,,,
Turnover: Recover 10 health,回合之后：回复10生命点,,,
Turnover: Recover 20 health,回合之后：回复20生命点,,,
Turnover: Deal 10 damage to a creature directly in front of this one,回合之后：对面前敌方单位造成10点伤害,,,
Turnover: Deal 20 damage to a creature directly in front of this one,回合之后：对面前敌方单位造成20点伤害,,,
Turnover: Deal 30 damage to a creature directly in front of this one,回合之后：对面前敌方单位造成30点伤害,,,
Turnover: Draw a card,回合之后：抽取1张卡牌,,,
Turnover: Grant a random friendly creature +10/+10,回合之后：随机提高1个己方单位能力10/10,,,
Turnover: Grant a random friendly creature +0/+20,回合之后：随机提高1个己方单位能力0/20,,,
Turnover: Summon a Saplet,回合：召唤1个走地苗,,,
Turnover: Summon a Charming Imp on each empty tile in this domain,回合效果：在战役的每个空位上召唤1个迷人恶魔,,,
Turnover: Deal 10 damage to all opponent creatures,回合效果：对所有敌方单位造成10点伤害,,,
Turnover: Grant +10/+10 to any creature in this domain,回合效果：提高所有战役上的单位能力10/10,,,
Turnover: Grant +0/+10 to all friendly creatures,回合效果：提高所有己方单位能力0/10,,,
Turnover: Grant +10/+10 to a random friendly creature~ repeat 4 times,回合效果：随机提高1个己方单位能力10/10~重复4次,,,
Turnover: Store any unused mana for your next turn (max 100),回合效果：保留任何未使用的魔力~以便下场使用 (最多100分）,,,
Draw a card at the end of each player's turn,回合效果：在每个玩家回合结束后抽取1张卡牌,,,
,,,,
Warcry: Draw a card,战嚎： 抽取1张卡牌,,,
Warcry: Deal 10 damage to a creature directly in front of this one,战嚎：对面前敌方单位造成10点伤害,,,
Warcry: Deal 20 damage to a creature directly in front of this one,战嚎：对面前敌方单位造成20点伤害,,,
Warcry: Deal 30 damage to a creature directly in front of this one,战嚎：对面前敌方单位造成30点伤害,,,
Warcry: Sacrifice 20 health from your hero,战嚎：牺牲己方英雄20生命点,,,
Warcry: Restore 20 health to adjacent creatures,战嚎：周围单位恢复20生命点,,,
Warcry: Restore 40 health to adjacent creatures,战嚎：周围单位恢复40生命点,,,
Warcry: Restore 20 health to your hero,战嚎：恢复己方英雄20生命点,,,
Warcry: Restore 30 health to your hero,战嚎：恢复己方英雄30生命点,,,
Warcry: Restore max health to all friendly creatures,战嚎：恢复所有己方单位最大生命点,,,
Warcry: Condemn a creature directly in front of this one,战嚎：诅咒面前敌方单位,,,
Warcry: Condemn all opponent creatures,战嚎：诅咒所有敌方单位,,,
Warcry: Grant Protector to adjacent creatures,战嚎：周围单位得到保卫,,,
Warcry: Grant Shielded to a random friendly creature,战嚎：随机1个己方单位得到护,,,
Warcry: Grant +30/+30 to adjacent creatures,战嚎：周围单位能力提高30/30,,,
Warcry: Deal 20 damage to a random frozen opponent creature,战嚎：随机对1个敌方冰冻单位造成20点伤害,,,
Warcry: Destroy a random frozen opponent creature,战嚎：随机摧毁1个敌方冰冻单位,,,
Warcry: Resurrect your highest cost fallen friendly creature,战嚎：从牌堆中复活最强的己方单位,,,
Warcry: Summon two Saplets with Protector,战嚎：召唤2个带保卫的走地苗,,,
,,,,
Deathwish: Draw a card,亡愿 抽取1张卡牌,,,
Deathwish: Throw three bombs at random opponents dealing 10 damage each,亡愿: 随机扔3个手榴弹每个对敌方单位造成10点伤害,,,
Deathwish: Deal 10 damage to opponent hero,亡愿: 对敌方英雄造成10点伤害,,,
Deathwish: Deal 20 damage to the opponent hero,亡愿: 对敌方英雄造成20点伤害,,,
Deathwish: Deal 30 damage to all creatures,亡愿: 对所有单位造成30点伤害,,,
Deathwish: Deal 20 damage to all opponent creatures,亡愿: 对所有敌方单位造成20点伤害,,,
Deathwish: Resurrect this creature,亡愿: 复活这个单位,,,
Deathwish: Summon 2 copies of Dusk Dweller,亡愿: 召唤2个黄昏幼骷龙,,,
Deathwish: Summon 2 copies of Talusreaver,亡愿: 召唤2个骷龙爵士,,,
Deathwish: Resurrect your highest cost fallen friendly creature,亡愿: 从牌堆中复活最强的己方单位,,,
Deathwish: Grant Shielded to a random friendly creature,亡愿: 随机1个己方单位得到护盾,,,
Deathwish: Grant +10/+30 to a random friendly creature,亡愿;随机1个己方单位能力提高10/30,,,
Deathwish: Summon a Bipolar Yeti,亡愿：召唤1个双极雪人,,,
,,,,
Deal 10 damage to 3 random opponents,随机对3个敌方单位造成10点伤害,,,
Deal 30 damage to an opponent target,对选定敌方单位造成30点伤害,,,
Deal 50 damage to all opponent creatures,对所有敌方单位造成50点伤害,,,
Deal 20 damage to an opponent creature,,,,
Deal 60 damage to an opponent target,,,,
,,,,
Freeze a targeted creature for two turns; Freeze any adjacent creatures for one turn,冰冻目标敌方单位2回合；冰冻周围敌方单位1回合,,,
Freeze all opponent creatures,冰冻所有敌方单位,,,
Freeze a targeted creature and deal 10 damage,冰冻目标敌方单位并对其造成10点伤害,,,
,,,,
Condemn a targeted creature,诅咒目标敌方单位,,,
Condemn all creatures,诅咒所有场上单位,,,
,,,,
Gain +20/+20 after each attack,每次进攻后能力提升20/20,,,
,,,,
Grant Shielded to all friendly creatures,己方所有单位得到护盾,,,
Grant Protector to all friendly creatures,己方所有单位得到保卫,,,
Grant Protector to all friendly creatures in this domain,己方所有战域上单位得到保卫,,,
Grant a friendly creature Turnover: Draw a card,1个己方单位得到回合特效：抽取1张卡牌,,,
Grant +30/0 to a friendly creature— it dies next turn,1次性的提高1个己方单位能力30/0,,,
Grant +20/10 to a friendly creature,提高1个己方单位能力20/10,,,
Grant a friendly creature +20/50 and Deathwish: Summon a Fortress Knight,提高1个己方单位能力20/50；赋予亡愿：召唤1个城堡骑士,,,
Grant +10/+30 to all friendly creatures,提高所有己方单位能力10/30,,,
Grant Shielded to all friendly creatures,所有己方单位得到护盾,,,
Grant a friendly creature Haste,授予1个我兵即攻,,,
Grant a friendly creature +40/+40,授予1个我兵+40/+40,,,
Grant a friendly creature +20/+40 and Protector,授予1个我兵+20/+40和保卫,,,
,,,,
Creatures in this domain have +10/+0,战域上单位能力提高10/0,,,
Creatures in this domain have Haste,战域上单位得到冲锋,,,
,,,,
Reduce the cost of Weapon cards in your hand by half,降低手牌中的武器牌耗能一半,,,
Reduce the cost of Creature cards in your hand by half,降低手牌中的单位牌耗能一半,,,
All creatures which cost less than 30 can be played without cost,免费玩手牌中所有耗能低于30分的单位牌,,,
Double the health and attack of any Creature card in your hand if it costs less than 50,给手牌中的耗能低于50的单位牌的生命和进攻翻倍,,,
Nullify all damage dealt to your hero,所有对己方英雄造成的伤害无效,,,
,,,,
Whenever this creature takes damage~ deal 20 damage to opponent hero,每次受到伤害时~ 对敌方英雄造成20点伤害,,,
Whenever this creature takes damage~ summon two Meadow Sprites,每次受到伤害时~ 召唤2个草原精灵,,,
Whenever this creature takes damage~ deal 30 damage to its hero,每次受到伤害时~对其英雄造成30点伤害,,,
When attacking~ also deal 10 damage to any creatures adjacent to the targeted creature,每次进攻时~ 对目标周围敌方单位造成10点伤害,,,
When attacking~ also deal full damage to any creatures adjacent to the targeted creature,每次进攻时~ 对目标周围敌方单位造成同样伤害,,,
When attacking~ freeze target for 1 turn,每次进攻时~ 冰冻敌方单位,,,
,,,,
Resurrect the friendly creature that died most recently,复活最后牺牲的己方单位,,,
After attacking~ resurrect a random friendly creature,每次进攻后~随机复活1个己方单位,,,
,,,,
Destroy a targeted creature,毁灭目标单位,,,
Destroy targeted creature if target is frozen,如果目标单位处于冰冻状态~直接毁灭,,,
Randomly destroy all creatures except for 1 survivor,随机毁灭场上所有单位~只保留1个,,,
Destroy all opponent creatures,毁灭所有敌兵,,,
Destroy an opponent creature with at most 40 remaining life,毁灭1个只剩40分活力的敌兵,,,
Destroy an opponent creature; Summon two Charming Imps on any empty adjacent tiles,毁灭1个目标敌兵；左右空间召唤迷人恶魔,,,
,,,,
Whenever your opponent summons a creature ~ deal 20 damage to it,每个被召唤的敌方单位受到20点伤害,,,
Convert a random opponent creature,随机转化1个敌方单位成己方,,,
,,,,
“Rawr-rrrr-Awr.”,“啊。。。“,,,
“Not to be confused with some other titular protagonist”,"""不要小看他""",,,
“All books must b-u-r-n.”,"""把所有的书都烧了""",,,
“So innocent yet so fierce”,“如此纯洁但又凶猛”,,,
“I'm gr--saplet”,“我是~嗯-- 走地苗“,,,
“Powered by something other than humanity”,"""由人类以外的东西提供动力""",,,
“Few survive the abyssal grip”,很少能逃出我的死亡之爪,,,
“Poor thing~ being born into this harsh world.”,"""你这可怜的东西~ 出身在这惨酷的世界。“",,,
,,,,
Draw three cards,抽取3张卡牌,,,
Draw a card each time a friendly creature dies,每次我方单位牺牲时抽取1张卡牌,,,
"Draw 3 cards, deal 100 damage to your hero at the end of three turns",,,,
Draw 2 cards; Equip a Seafaring Cutlass,抓2张牌； 装备1个航海短剑,,,
Draw 2 cards,抓2张牌,,,
,,,,
For each empty space on your board summon either a Saplet or Treelet,在每个空位上召唤1个走地苗或者小树苗,,,
If you have at least 4 blue cards in hand~ destroy all opponent creatures,当你手上有4张以上蓝色牌时~毁灭所有敌方单位,,,
,,,,
Restore 20 health to a friendly target; Draw a card,愈合目标的我方20分；抓3张牌,,,
Restore 30 health to a friendly target,愈合目标的我方30分,,,
Restore 70 health to your hero; Draw 3 cards,愈合我将70分；抓3张牌,,,
,,,,
"Summon a copy of a friendly creature, shuffle two copies of it into your deck",,,,
Steal a random card from your opponent's hand and add it to your own,,,,
"Spend 5 mana, deal 10 damage to a random opponent creature; Repeat until out of mana",,,,
